sku,item_name,price
101,White Rice 50lb,28.50
102,Black Beans 25lb,22.00
103,Pinto Beans 25lb,21.50
104,Red Kidney Beans 25lb,23.00
105,Yellow Corn Meal 25lb,18.75
106,All Purpose Flour 50lb,26.00
107,Cooking Oil Vegetable 5 Gallon,45.00
108,Olive Oil Extra Virgin 1 Gallon,32.50
109,Plantains Green Case,27.00
110,Plantains Ripe Case,29.00
111,Yuca Root Fresh Case,34.00
112,Malanga Root Fresh Case,36.00
113,Garlic Fresh 5lb Bag,12.50
114,Onions Yellow 50lb,20.00
115,Tomatoes Roma 25lb,24.00
116,Cuban Bread Loaf,2.50
117,Chorizo Sausage 10lb Case,24.00
118,Pork Shoulder Bone-In Case,72.00
119,Chicken Leg Quarters 40lb Case,55.00
120,Evaporated Milk Cans Case,18.00
121,Sour Orange (Naranja Agria) Case,30.00
122,Napkins 3 Ply Case,18.00
123,Mango Frozen Pulp Case,26.00
124,Bacalao Salted Cod Case,85.00
125,Gandules Frozen Case,32.00
126,Yuca Rellena Case,40.00
127,Bitter Orange Marinade Case,28.00
128,Malta Tan Bueno Case,35.00
129,Margarine 1lb Blocks Case,27.00
130,Beef Base Concentrate Case,42.00
131,Tomato Sauce Case,24.00
132,Tomato Puree Case,23.00
133,Mustard Case,14.00
134,Swiss Cheese Case,48.00
