sku,item_name,price
M001,White Rice Long Grain 50 LB,29.5
M002,Parboiled Rice 20 LB,16.25
M003,Jasmine Rice 20 LB,27.4
M004,Black Beans 25 LB,24.1
M005,Pinto Beans 25 LB,23.8
M006,Red Kidney Beans 25 LB,25.2
M007,Yellow Corn Meal 25 LB,19.9
M008,All Purpose Flour 50 LB,27.75
M009,Bouncer Flour 50 LB,30.1
M010,Instant Yeast Red 20/1 LB,132.0
M011,Instant Yeast Gold 20/1 LB,136.5
M012,Vegetable Cooking Oil 35 LB,48.25
M013,Corn Oil 6/96 OZ,49.9
M014,Pure Olive Oil 4/1 GL,118.0
M015,Pomace Olive Oil 4/3 LT,73.4
M016,Canola Blend Olive Oil 4/1 GL,97.6
M017,Green Plantains Case,28.5
M018,Ripe Plantains Case,30.2
M019,Yuca Root Fresh 6/5 LB,38.1
M020,Yuca Fries 6/4 LB,42.35
M021,Yuca Rellena Case,44.9
M022,Malanga Root Fresh Case,39.8
M023,Masa de Yuca 6/5 LB,41.25
M024,Masa de Malanga 6/5 LB,43.0
M025,Garlic Fresh 5 LB Bag,13.95
M026,Yellow Onions 50 LB,22.1
M027,Roma Tomatoes 25 LB,25.4
M028,Black Olives 4/116 OZ,109.0
M029,Adobo with Cumin 12/28 OZ,58.5
M030,Adobo without Pepper 12/28 OZ,57.8
M031,Adobo with Pepper 12/28 OZ,59.2
M032,Aji Amarillo Paste 4/116 OZ,102.0
M033,Aji Panca Paste 4/116 OZ,103.5
M034,Mango Frozen Pulp Case,28.1
M035,Guava Pulp 40 LB,56.8
M036,Passion Fruit Pulp 12/14 OZ,34.9
M037,Blackberry Pulp 12/14 OZ,39.75
M038,Nance Fruit Pulp 12/14 OZ,41.3
M039,Cuban Bread Loaf,2.85
M040,Pan Sobao 12/18 OZ,31.4
M041,Pan de Yuca 36 CT,47.2
M042,Pan de Bono 36 CT,49.1
M043,Cheese Sticks Frozen 36 CT,46.75
M044,Media Noche Bread 24 CT,25.6
M045,Tostones 12/12 OZ,27.9
M046,Tostones Hawaiian 10/2 LB,71.2
M047,Breadfruit Tostones 6/3 LB,38.4
M048,Coconut Milk 24/14 OZ,33.1
M049,Evaporated Milk 24/12 OZ,28.4
M050,Sweetened Condensed Milk 24/13 OZ,29.6
M051,Margarine Solid 30/1 LB,49.5
M052,Butter Salted 36/1 LB,114.8
M053,Butter Unsalted 36/1 LB,121.4
M054,Swiss Cheese Block 2/11 LB,82.9
M055,Swiss Cheese Sliced 12/7 OZ,57.6
M056,Cheddar Cheese Mild 1/10 LB,44.3
M057,Cream Cheese 10/3 LB,98.7
M058,Mozzarella Shredded 4/5 LB,76.4
M059,Provolone Cheese 6/6 LB,69.85
M060,Chicken Breast Boneless 4/10 LB,98.2
M061,Chicken Leg Quarters 1/40 LB,36.8
M062,Chicken Wings 4/10 LB,69.4
M063,Chicken Gizzards 4/10 LB,79.1
M064,Pork Shoulder Bone-In Case,75.25
M065,Cooked Ham 2/13 LB,88.6
M066,Serrano Ham 1/2 Unit,91.5
M067,Bacon Buffet 15 LB,54.7
M068,Chorizo Tigre 10 LB,47.9
M069,Ground Chorizo 10 LB,46.3
M070,Mexican Chorizo 10/1 LB,60.2
M071,Cantimpalo 12/16 OZ,133.5
M072,Salchichon Slices 12/3 OZ,57.2
M073,Morcilla Frozen 4/3 LB,80.4
M074,Salted Cod Case,89.9
M075,Sardines in Olive Oil 10/4 OZ,18.6
M076,Sardines in Tomato Sauce 10/4 OZ,16.9
M077,Squid in Oil 10/4 OZ,27.1
M078,Napkins 3 Ply Case,19.25
M079,Mustard Case,15.2
M080,Tomato Sauce Case,25.6
M081,Tomato Puree Case,24.9
M082,Beef Base Concentrate Case,44.7
M083,Bitter Orange Marinade Case,29.5
M084,Sour Orange Case,31.2
M085,Malta Soft Drink Case,36.8
